id,Title,Content,Published_date,Date_Added,Source_URL,Rss_Feed,Catogory
1,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced","Not Available",19-04-2023,10-10-2024,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
2,"Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell","Not Available","Not Available",10-10-2024,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,http://rss.cnn.com/rss/cnn_topstories.rss,Others
3,"Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory","• Fox-Dominion trial delay 'is not unusual,' judge says• Fox News' defamation battle isn't stopping Trump's election lies",17-04-2023,10-10-2024,https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
4,"Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case'","The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.",19-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
5,"'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement","A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.",18-04-2023,10-10-2024,https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,http://rss.cnn.com/rss/cnn_topstories.rss,Others
6,"Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden","• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump• Opinion: For the GOP to win, it must ditch Trump• Chris Christie mulling 2024 White House bid• Analysis: The fire next time has begun burning in Tennessee",18-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,"Positive / Uplifting"
7,"White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges","• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks• 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say",19-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,"Terrorism / Protest / Political Unrest / Riot"
8,"Newly released video shows scene of Jeremy Renner's snowplow accident","Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The "Avengers" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.",18-04-2023,10-10-2024,https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,http://rss.cnn.com/rss/cnn_topstories.rss,Others
9,"Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together","It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.",18-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
10,"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.",18-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
11,"Jamie Foxx remains hospitalized nearly a week after 'medical complication'","Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a "medical complication," a source with knowledge of the matter told CNN on Monday.",18-04-2023,10-10-2024,https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
12,"A 13-year-old dies after participating in a Benadryl TikTok 'challenge'","A 13-year-old in Ohio has died after "he took a bunch of Benadryl," trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.",19-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
13,"See pizza delivery guy take out suspect fleeing police","Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.",18-04-2023,10-10-2024,https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,http://rss.cnn.com/rss/cnn_topstories.rss,"Terrorism / Protest / Political Unrest / Riot"
14,"Netflix is winding down its DVD business after 25 years","Netflix is officially winding down the business that helped make it a household name.",18-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
15,"FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams","Artificial intelligence tools such as ChatGPT could lead to a "turbocharging" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.",18-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
16,"Eating too much of these foods is driving the rise in type 2 diabetes, study says","Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.",17-04-2023,10-10-2024,https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
17,"ADHD medication abuse in schools is a 'wake-up call'","At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.",25-04-2023,10-10-2024,https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,http://rss.cnn.com/rss/cnn_topstories.rss,Others
18,"Apple CEO was presented with an original Macintosh. See his reaction","CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.",18-04-2023,10-10-2024,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,http://rss.cnn.com/rss/cnn_topstories.rss,Others
